Rating,Final Price,Discount,Number of Reviews,Material,Color,Style,Type,Brand
5,21,0,(1000+ Reviews),Fabric ,Green ,Casual ,A Line ,SHEIN VCAY
4.94,15,0,(1000+ Reviews),Knitted Fabric ,Purple ,Elegant ,Fitted ,SHEIN Clasi
5,27,0,(1000+ Reviews),Mesh Fabric ,Pink ,Elegant ,A Line ,SHEIN Belle
4.93,15,0,(1000+ Reviews),Woven Fabric ,Black ,Boho ,A Line ,SHEIN Frenchy
4.94,6.8,15,(500+ Reviews),Woven Fabric ,Green ,Boho ,A Line ,SHEIN VCAY
4.84,16.8,20,(500+ Reviews),Knitted Fabric ,Multicolor ,Casual ,Cami ,SHEIN LUNE
4.95,29,0,(100+ Reviews),Knitted Fabric ,Baby Blue ,Elegant ,Bodycon ,SHEIN Aloruh
4.95,13.75,28,(1000+ Reviews),Knitted Fabric ,White ,Sexy ,Bodycon ,SHEIN privé
4.95,49,0,(1000+ Reviews),Lace ,Navy Blue ,Party ,A Line ,MIUSOL
5,24,0,(1000+ Reviews),Mesh Fabric ,Baby Blue ,Party ,Fit and Flare ,Simplee
4.94,19.2,20,(100+ Reviews),Fabric ,Grey ,Casual ,Bodycon ,SHEIN ICON
4.97,11,0,(1000+ Reviews),Woven Fabric ,Black ,Casual ,Cami ,SHEIN PETITE
4.97,25,0,(67 Reviews),Fabric ,White ,Party- Elegant ,Bodycon ,SHEIN Aloruh
4.87,17,0,(1000+ Reviews),Woven Fabric ,Apricot ,Cute ,Smock ,SHEIN LUNE
5,6,0,(1000+ Reviews),Fabric ,Multicolor ,Elegant ,Cami ,SHEIN Essnce
5,13,0,(37 Reviews),Polyester ,Brown ,Casual ,Tank ,SHEIN EZwear
4.89,22,0,(1000+ Reviews),Linen ,Apricot ,Casual ,Cami ,SHEIN EZwear
4.98,16,0,(1000+ Reviews),Fabric ,Hot Pink ,Casual ,A Line ,SHEIN VCAY
4.93,22,0,(1000+ Reviews),Fabric ,Navy Blue ,Elegant ,A Line ,SHEIN LONESS
5,12,0,(1000+ Reviews),Fabric ,Mint Green ,Boho ,Cami ,SHEIN WYWH
4.93,17,15,(1000+ Reviews),Fabric ,Pink ,Casual ,Shirt ,SHEIN VCAY
4.95,13,0,(1000+ Reviews),Fabric ,Multicolor ,Boho ,Cami ,SHEIN PETITE
4.96,14,0,(1000+ Reviews),Fabric ,Black ,Party ,Bodycon ,SHEIN BAE
4.93,13.6,15,(100+ Reviews),Fabric ,Hot Pink ,Casual ,A Line ,SHEIN LONESS
4.91,14.45,15,(100+ Reviews),Knitted Fabric ,Multicolor ,Casual ,A Line ,SHEIN ICON
4.92,21,0,(1000+ Reviews),Woven Fabric ,Blue ,Boho ,Cami ,SHEIN VCAY
4.98,18.75,25,(100+ Reviews),Fabric ,White ,Sexy ,Bodycon ,SHEIN Slayr
4.97,17.85,15,(100+ Reviews),Woven Fabric ,White ,Boho ,Cami ,SHEIN WYWH
4.96,11,0,(1000+ Reviews),Fabric ,Black ,Casual ,Bodycon ,SHEIN EZwear
5,16,0,(1000+ Reviews),Mesh Fabric ,Baby Blue ,Sexy ,Bodycon ,SHEIN ICON
4.92,19,0,(1000+ Reviews),Fabric ,Navy Blue ,Boho ,Tunic ,EMERY ROSE
